Start Date;Start Time;End Date;End Time;EAN;Meter Nr;Metertype;Register;Volume;Unit;Validation Status
20-10-2025;00:00:00;20-10-2025;00:15:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak offtake;0.01;kWh;Validated
20-10-2025;00:00:00;20-10-2025;00:15:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak injection;0;kWh;Validated
20-10-2025;00:15:00;20-10-2025;00:30:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak offtake;0.016;kWh;Validated
20-10-2025;00:15:00;20-10-2025;00:30:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak injection;0;kWh;Validated
20-10-2025;00:30:00;20-10-2025;00:45:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak offtake;0.005;kWh;Validated
20-10-2025;00:30:00;20-10-2025;00:45:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak injection;0;kWh;Validated
20-10-2025;00:45:00;20-10-2025;01:00:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak offtake;0.006;kWh;Validated
20-10-2025;00:45:00;20-10-2025;01:00:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak injection;0;kWh;Validated
20-10-2025;01:00:00;20-10-2025;01:15:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak offtake;0.01;kWh;Validated
20-10-2025;01:00:00;20-10-2025;01:15:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak injection;0;kWh;Validated
20-10-2025;01:15:00;20-10-2025;01:30:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak offtake;0.015;kWh;Validated
20-10-2025;01:15:00;20-10-2025;01:30:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak injection;0;kWh;Validated
20-10-2025;01:30:00;20-10-2025;01:45:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak offtake;0.005;kWh;Validated
20-10-2025;01:30:00;20-10-2025;01:45:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak injection;0;kWh;Validated
20-10-2025;01:45:00;20-10-2025;02:00:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak offtake;0.01;kWh;Validated
20-10-2025;01:45:00;20-10-2025;02:00:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak injection;0;kWh;Validated
20-10-2025;02:00:00;20-10-2025;02:15:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak offtake;0.015;kWh;Validated
20-10-2025;02:00:00;20-10-2025;02:15:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak injection;0;kWh;Validated
20-10-2025;02:15:00;20-10-2025;02:30:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak offtake;0.006;kWh;Validated
20-10-2025;02:15:00;20-10-2025;02:30:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak injection;0;kWh;Validated
20-10-2025;02:30:00;20-10-2025;02:45:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak offtake;0.005;kWh;Validated
20-10-2025;02:30:00;20-10-2025;02:45:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak injection;0;kWh;Validated
20-10-2025;02:45:00;20-10-2025;03:00:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak offtake;0.014;kWh;Validated
20-10-2025;02:45:00;20-10-2025;03:00:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak injection;0;kWh;Validated
20-10-2025;03:00:00;20-10-2025;03:15:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak offtake;0.011;kWh;Validated
20-10-2025;03:00:00;20-10-2025;03:15:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak injection;0;kWh;Validated
20-10-2025;03:15:00;20-10-2025;03:30:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak offtake;0.005;kWh;Validated
20-10-2025;03:15:00;20-10-2025;03:30:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak injection;0;kWh;Validated
20-10-2025;03:30:00;20-10-2025;03:45:00;541448965001643820;1LGZ0480960293;Digital meter;Off-peak offtake;0.011;kWh;Validated
