time;;Gb(i);Gd(i);Gr(i);H_sun;T2m;WS10m;Int
20180101:0010;"=TEXT(LEFT(A10,8), ""YYYYMMDD"") & "" "" & TEXT(RIGHT(A10,4), ""HH:MM"")";0.0;0.0;0.0;0.0;7.98;7.17;0.0
20180101:0110;;0.0;0.0;0.0;0.0;7.39;7.93;0.0
20180101:0210;;0.0;0.0;0.0;0.0;6.93;8.34;0.0
20180101:0310;;0.0;0.0;0.0;0.0;6.84;8.07;0.0
20180101:0410;;0.0;0.0;0.0;0.0;6.72;7.66;0.0
20180101:0510;;0.0;0.0;0.0;0.0;6.43;7.1;0.0
20180101:0610;;0.0;0.0;0.0;0.0;6.25;6.62;0.0
20180101:0710;;0.0;0.0;0.0;0.0;6.01;6.28;0.0
20180101:0810;;0.0;4.0;0.0;2.77;5.89;6.14;0.0
20180101:0910;;22.0;66.0;0.0;8.94;6.12;6.41;0.0
20180101:1010;;66.0;98.0;0.0;13.37;6.63;6.14;0.0
20180101:1110;;23.0;123.0;0.0;15.7;7.25;5.45;0.0
20180101:1210;;0.0;52.0;0.0;15.71;7.42;5.38;0.0
20180101:1310;;9.0;95.0;0.0;13.4;7.47;4.55;0.0
20180101:1410;;0.0;23.0;0.0;8.99;6.87;5.1;0.0
20180101:1510;;0.0;5.0;0.0;2.84;5.48;4.69;0.0
20180101:1610;;0.0;0.0;0.0;0.0;4.78;4.34;0.0
20180101:1710;;0.0;0.0;0.0;0.0;4.78;3.31;0.0
20180101:1810;;0.0;0.0;0.0;0.0;5.11;2.28;0.0
20180101:1910;;0.0;0.0;0.0;0.0;4.9;3.72;0.0
20180101:2010;;0.0;0.0;0.0;0.0;4.46;4.28;0.0
20180101:2110;;0.0;0.0;0.0;0.0;4.24;4.41;0.0
20180101:2210;;0.0;0.0;0.0;0.0;4.15;3.72;0.0
20180101:2310;;0.0;0.0;0.0;0.0;4.72;4.97;0.0
20180102:0010;;0.0;0.0;0.0;0.0;5.06;5.31;0.0
20180102:0110;;0.0;0.0;0.0;0.0;5.0;4.9;0.0
20180102:0210;;0.0;0.0;0.0;0.0;4.93;5.1;0.0
20180102:0310;;0.0;0.0;0.0;0.0;4.96;5.52;0.0
20180102:0410;;0.0;0.0;0.0;0.0;4.95;5.66;0.0
20180102:0510;;0.0;0.0;0.0;0.0;4.94;5.59;0.0
20180102:0610;;0.0;0.0;0.0;0.0;4.98;5.31;0.0
20180102:0710;;0.0;0.0;0.0;0.0;4.92;4.97;0.0
20180102:0810;;0.0;7.0;0.0;2.79;4.79;4.55;0.0
20180102:0910;;2.0;53.0;0.0;8.98;4.73;4.21;0.0
20180102:1010;;0.0;69.0;0.0;13.42;4.99;3.59;0.0
20180102:1110;;29.0;126.0;0.0;15.77;5.42;4.07;0.0
20180102:1210;;22.0;124.0;0.0;15.8;5.87;4.34;0.0
20180102:1310;;12.0;100.0;0.0;13.51;6.29;4.41;0.0
20180102:1410;;1.0;52.0;0.0;9.11;6.5;4.28;0.0
20180102:1510;;1.0;11.84;0.0;2.96;6.44;4.34;0.0
20180102:1610;;0.0;0.0;0.0;0.0;6.46;4.69;0.0
20180102:1710;;0.0;0.0;0.0;0.0;6.4;4.9;0.0
20180102:1810;;0.0;0.0;0.0;0.0;6.07;5.59;0.0
20180102:1910;;0.0;0.0;0.0;0.0;5.82;6.41;0.0
20180102:2010;;0.0;0.0;0.0;0.0;6.42;6.9;0.0
20180102:2110;;0.0;0.0;0.0;0.0;7.13;6.76;0.0
20180102:2210;;0.0;0.0;0.0;0.0;7.72;6.41;0.0
20180102:2310;;0.0;0.0;0.0;0.0;8.19;6.55;0.0
20180103:0010;;0.0;0.0;0.0;0.0;8.88;6.83;0.0
20180103:0110;;0.0;0.0;0.0;0.0;9.7;7.72;0.0
20180103:0210;;0.0;0.0;0.0;0.0;10.25;9.31;0.0
20180103:0310;;0.0;0.0;0.0;0.0;10.32;9.93;0.0
20180103:0410;;0.0;0.0;0.0;0.0;10.79;10.28;0.0
20180103:0510;;0.0;0.0;0.0;0.0;9.43;8.48;0.0
20180103:0610;;0.0;0.0;0.0;0.0;7.58;9.79;0.0
20180103:0710;;0.0;0.0;0.0;0.0;7.38;9.38;0.0
20180103:0810;;11.0;11.79;0.0;2.82;6.28;8.97;0.0
20180103:0910;;2.0;54.0;0.0;9.03;6.04;8.28;0.0
20180103:1010;;8.0;96.0;0.0;13.49;6.75;8.41;0.0
20180103:1110;;0.0;65.0;0.0;15.86;7.62;9.1;0.0
20180103:1210;;4.0;103.0;0.0;15.9;8.02;9.72;0.0
20180103:1310;;0.0;18.0;0.0;13.62;8.14;9.31;0.0
20180103:1410;;0.0;14.0;0.0;9.24;7.72;8.83;0.0
20180103:1510;;0.0;6.0;0.0;3.1;7.72;8.07;0.0
20180103:1610;;0.0;0.0;0.0;0.0;7.52;7.59;0.0
20180103:1710;;0.0;0.0;0.0;0.0;7.15;7.31;0.0
20180103:1810;;0.0;0.0;0.0;0.0;7.0;7.03;0.0
20180103:1910;;0.0;0.0;0.0;0.0;6.62;7.1;0.0
20180103:2010;;0.0;0.0;0.0;0.0;6.5;6.76;0.0
20180103:2110;;0.0;0.0;0.0;0.0;6.53;6.34;0.0
20180103:2210;;0.0;0.0;0.0;0.0;6.62;6.14;0.0
20180103:2310;;0.0;0.0;0.0;0.0;6.52;6.0;0.0
20180104:0010;;0.0;0.0;0.0;0.0;6.56;5.86;0.0
20180104:0110;;0.0;0.0;0.0;0.0;6.4;5.72;0.0
20180104:0210;;0.0;0.0;0.0;0.0;6.39;5.45;0.0
20180104:0310;;0.0;0.0;0.0;0.0;6.28;5.1;0.0
20180104:0410;;0.0;0.0;0.0;0.0;6.24;4.76;0.0
20180104:0510;;0.0;0.0;0.0;0.0;6.08;4.28;0.0
20180104:0610;;0.0;0.0;0.0;0.0;5.96;3.79;0.0
20180104:0710;;0.0;0.0;0.0;0.0;6.64;4.0;0.0
20180104:0810;;0.0;7.0;0.0;2.86;6.88;3.79;0.0
20180104:0910;;0.0;20.0;0.0;9.08;7.05;3.24;0.0
20180104:1010;;0.0;59.0;0.0;13.56;7.28;2.76;0.0
20180104:1110;;0.0;29.0;0.0;15.95;7.75;3.24;0.0
20180104:1210;;3.0;98.0;0.0;16.01;8.31;4.21;0.0
20180104:1310;;0.0;69.0;0.0;13.75;10.02;6.28;0.0
20180104:1410;;27.0;66.0;0.0;9.37;11.57;7.45;0.0
20180104:1510;;12.0;13.59;0.0;3.23;11.38;7.79;0.0
20180104:1610;;0.0;0.0;0.0;0.0;10.9;7.93;0.0
20180104:1710;;0.0;0.0;0.0;0.0;10.61;8.0;0.0
20180104:1810;;0.0;0.0;0.0;0.0;10.21;8.34;0.0
20180104:1910;;0.0;0.0;0.0;0.0;9.31;8.21;0.0
20180104:2010;;0.0;0.0;0.0;0.0;8.8;7.86;0.0
20180104:2110;;0.0;0.0;0.0;0.0;8.14;7.24;0.0
20180104:2210;;0.0;0.0;0.0;0.0;7.61;6.69;0.0
20180104:2310;;0.0;0.0;0.0;0.0;7.07;6.55;0.0
20180105:0010;;0.0;0.0;0.0;0.0;6.92;6.14;0.0
20180105:0110;;0.0;0.0;0.0;0.0;6.98;5.72;0.0
20180105:0210;;0.0;0.0;0.0;0.0;6.87;5.17;0.0
20180105:0310;;0.0;0.0;0.0;0.0;7.3;6.76;0.0
20180105:0410;;0.0;0.0;0.0;0.0;7.85;7.52;0.0
20180105:0510;;0.0;0.0;0.0;0.0;7.76;6.83;0.0
20180105:0610;;0.0;0.0;0.0;0.0;7.84;6.14;0.0
20180105:0710;;0.0;0.0;0.0;0.0;7.86;5.31;0.0
20180105:0810;;1.0;12.82;0.0;2.9;7.67;4.48;0.0
20180105:0910;;12.0;65.0;0.0;9.14;7.96;4.21;0.0
20180105:1010;;0.0;59.0;0.0;13.64;8.32;3.93;0.0
20180105:1110;;8.0;113.0;0.0;16.05;8.73;3.79;0.0
20180105:1210;;5.0;106.0;0.0;16.13;8.96;3.17;0.0
20180105:1310;;36.0;108.0;0.0;13.88;9.22;2.69;0.0
20180105:1410;;20.0;70.0;0.0;9.51;9.31;3.24;0.0
20180105:1510;;3.0;16.39;0.0;3.38;8.92;3.66;0.0
20180105:1610;;0.0;0.0;0.0;0.0;8.42;4.55;0.0
20180105:1710;;0.0;0.0;0.0;0.0;8.03;4.83;0.0
20180105:1810;;0.0;0.0;0.0;0.0;7.67;4.28;0.0
20180105:1910;;0.0;0.0;0.0;0.0;7.38;4.07;0.0
20180105:2010;;0.0;0.0;0.0;0.0;6.73;3.86;0.0
20180105:2110;;0.0;0.0;0.0;0.0;6.09;3.86;0.0
20180105:2210;;0.0;0.0;0.0;0.0;5.7;3.72;0.0
20180105:2310;;0.0;0.0;0.0;0.0;5.55;3.52;0.0
20180106:0010;;0.0;0.0;0.0;0.0;5.15;3.17;0.0
20180106:0110;;0.0;0.0;0.0;0.0;4.79;3.03;0.0
20180106:0210;;0.0;0.0;0.0;0.0;4.57;2.9;0.0
20180106:0310;;0.0;0.0;0.0;0.0;4.15;2.69;0.0
20180106:0410;;0.0;0.0;0.0;0.0;3.76;2.48;0.0
20180106:0510;;0.0;0.0;0.0;0.0;3.55;2.21;0.0
20180106:0610;;0.0;0.0;0.0;0.0;3.43;2.0;0.0
20180106:0710;;0.0;0.0;0.0;0.0;4.09;1.86;0.0
20180106:0810;;0.0;9.0;0.0;2.95;4.15;1.66;0.0
20180106:0910;;9.0;65.0;0.0;9.21;4.71;0.97;0.0
20180106:1010;;6.0;94.0;0.0;13.73;6.15;0.21;0.0
20180106:1110;;0.0;80.0;0.0;16.15;6.78;0.28;0.0
20180106:1210;;6.0;111.0;0.0;16.25;7.09;0.76;0.0
20180106:1310;;0.0;72.0;0.0;14.01;7.17;1.79;0.0
20180106:1410;;12.0;68.0;0.0;9.65;6.98;2.34;0.0
20180106:1510;;0.0;13.0;0.0;3.53;6.58;2.34;0.0
20180106:1610;;0.0;0.0;0.0;0.0;5.95;2.55;0.0
20180106:1710;;0.0;0.0;0.0;0.0;5.68;2.76;0.0
20180106:1810;;0.0;0.0;0.0;0.0;5.56;2.97;0.0
20180106:1910;;0.0;0.0;0.0;0.0;5.3;3.1;0.0
20180106:2010;;0.0;0.0;0.0;0.0;5.12;3.24;0.0
20180106:2110;;0.0;0.0;0.0;0.0;5.03;3.38;0.0
20180106:2210;;0.0;0.0;0.0;0.0;4.9;3.52;0.0
20180106:2310;;0.0;0.0;0.0;0.0;4.65;3.72;0.0
20180107:0010;;0.0;0.0;0.0;0.0;4.4;4.14;0.0
20180107:0110;;0.0;0.0;0.0;0.0;4.07;4.34;0.0
20180107:0210;;0.0;0.0;0.0;0.0;3.93;4.48;0.0
20180107:0310;;0.0;0.0;0.0;0.0;3.77;4.62;0.0
20180107:0410;;0.0;0.0;0.0;0.0;3.56;4.9;0.0
20180107:0510;;0.0;0.0;0.0;0.0;3.32;5.24;0.0
20180107:0610;;0.0;0.0;0.0;0.0;3.05;5.38;0.0
20180107:0710;;0.0;0.0;0.0;0.0;3.17;5.45;0.0
20180107:0810;;0.0;5.0;0.0;3.01;2.88;5.52;0.0
20180107:0910;;0.0;36.0;0.0;9.28;2.8;5.1;0.0
20180107:1010;;0.0;60.0;0.0;13.82;2.89;5.17;0.0
20180107:1110;;0.0;64.0;0.0;16.27;3.17;5.52;0.0
20180107:1210;;0.0;73.0;0.0;16.38;3.53;5.79;0.0
20180107:1310;;10.0;102.0;0.0;14.16;3.8;5.93;0.0
20180107:1410;;34.0;71.0;0.0;9.8;3.8;6.0;0.0
20180107:1510;;0.0;11.0;0.0;3.68;3.5;4.9;0.0
20180107:1610;;0.0;0.0;0.0;0.0;3.18;5.17;0.0
20180107:1710;;0.0;0.0;0.0;0.0;2.96;5.1;0.0
20180107:1810;;0.0;0.0;0.0;0.0;2.73;5.1;0.0
20180107:1910;;0.0;0.0;0.0;0.0;2.69;5.24;0.0
20180107:2010;;0.0;0.0;0.0;0.0;2.68;5.17;0.0
20180107:2110;;0.0;0.0;0.0;0.0;2.69;5.1;0.0
20180107:2210;;0.0;0.0;0.0;0.0;2.71;4.9;0.0
20180107:2310;;0.0;0.0;0.0;0.0;2.8;4.76;0.0
20180108:0010;;0.0;0.0;0.0;0.0;2.73;4.55;0.0
20180108:0110;;0.0;0.0;0.0;0.0;2.58;4.62;0.0
20180108:0210;;0.0;0.0;0.0;0.0;2.54;4.76;0.0
20180108:0310;;0.0;0.0;0.0;0.0;2.54;4.62;0.0
20180108:0410;;0.0;0.0;0.0;0.0;2.5;4.34;0.0
20180108:0510;;0.0;0.0;0.0;0.0;2.51;4.34;0.0
20180108:0610;;0.0;0.0;0.0;0.0;2.5;4.34;0.0
20180108:0710;;0.0;0.0;0.0;0.0;2.82;4.21;0.0
20180108:0810;;7.0;15.43;0.0;3.08;2.86;4.14;0.0
20180108:0910;;2.0;53.0;0.0;9.37;3.37;4.21;0.0
20180108:1010;;22.0;108.0;0.0;13.93;4.21;3.93;0.0
20180108:1110;;0.0;51.0;0.0;16.39;5.02;4.34;0.0
20180108:1210;;1.0;96.0;0.0;16.52;5.78;4.55;0.0
20180108:1310;;1.0;80.0;0.0;14.31;6.33;4.41;0.0
